variable,charge,p_min,p_max,theta_min,theta_max,threshold,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn
pidPairProbabilityExpert_11_211_ALL,+-,2.0,2.5,1.57,1.88,0.9,0.026256,0.00185344,0.00185344,0.00032187,8.54e-06,0.00892876,0.00127673,0.00127673,0.00029695,1.641e-05,2.94061,0.468928,0.468928,0.10423,0.00548984
pidPairProbabilityExpert_11_211_ALL,+-,2.5,3.0,1.57,1.88,0.9,0.0212637,0.00238498,0.00238498,0.00039174,1.484e-05,0.00750825,0.00155012,0.00155012,0.00030387,2.59e-06,2.83204,0.665405,0.665405,0.125934,0.00220476
pidPairProbabilityExpert_11_211_ALL,+-,0.4,0.5,1.88,2.23,0.9,0.0489735,0.00476422,0.00476422,0.00070656,8.51e-06,0.0184652,0.00373286,0.00373286,0.00074529,1.058e-05,2.65221,0.595011,0.595011,0.113682,0.00158796
pidPairProbabilityExpert_11_211_ALL,+-,0.5,1.0,1.88,2.23,0.9,0.0493468,0.00215124,0.00215124,0.00093073,1.073e-05,0.0270792,0.00186165,0.00186165,0.00072231,1.301e-05,1.82231,0.148346,0.148346,0.0595322,0.00096083
pidPairProbabilityExpert_11_211_ALL,+-,1.0,1.5,1.88,2.23,0.9,0.0422483,0.00202295,0.00202295,0.00071362,1.073e-05,0.0234184,0.00177572,0.00177572,0.00030538,1.318e-05,1.80406,0.161786,0.161786,0.0384974,0.00111361
pidPairProbabilityExpert_11_211_ALL,+-,1.5,2.0,1.88,2.23,0.9,0.0298244,0.00169587,0.00169587,0.00076155,6.77e-06,0.0156339,0.00143312,0.00143312,0.0001653,1.321e-05,1.90767,0.205783,0.205783,0.0527227,0.00166954
pidPairProbabilityExpert_11_211_ALL,+-,2.0,2.5,1.88,2.23,0.9,0.0261603,0.00185921,0.00185921,0.00041204,7.65e-06,0.0169014,0.0017,0.0017,0.00012138,1.324e-05,1.54782,0.190627,0.190627,0.0267937,0.00129451
pidPairProbabilityExpert_11_211_ALL,+-,2.5,3.0,1.88,2.23,0.9,0.0280809,0.00274526,0.00274526,0.00018016,8.62e-06,0.0185733,0.00258478,0.00258478,0.00042618,1.732e-05,1.5119,0.257133,0.257133,0.0360221,0.00148433
pidPairProbabilityExpert_11_211_ALL,+-,0.4,0.5,2.23,2.71,0.9,0.0446811,0.00760531,0.00760531,0.00172703,5.506e-05,0.00444431,0.00355109,0.00355109,0.00069545,1.732e-05,10.0536,8.21323,8.21323,1.62047,0.0410915
pidPairProbabilityExpert_11_211_ALL,+-,0.5,1.0,2.23,2.71,0.9,0.0330438,0.00259328,0.00259328,0.00186093,6.951e-05,0.00728027,0.00136066,0.00136066,0.00099546,2.075e-05,4.53882,0.920043,0.920043,0.67119,0.0160788
pidPairProbabilityExpert_11_211_ALL,+-,1.0,1.5,2.23,2.71,0.9,0.0290586,0.00245354,0.00245354,0.00102648,7.505e-05,0.00955948,0.0015396,0.0015396,0.00111169,2.43e-06,3.03977,0.552768,0.552768,0.369449,0.0078887
pidPairProbabilityExpert_11_211_ALL,+-,1.5,2.0,2.23,2.71,0.9,0.0312477,0.00279409,0.00279409,0.00140046,7.722e-05,0.0102642,0.0017436,0.0017436,0.00120762,1.666e-05,3.04434,0.584418,0.584418,0.383285,0.00900182
pidPairProbabilityExpert_11_211_ALL,+-,2.0,2.5,2.23,2.71,0.9,0.0277442,0.00477436,0.00477436,0.001989,9.4e-05,0.0105228,0.00251423,0.00251423,0.00043615,2.033e-05,2.63658,0.776344,0.776344,0.218335,0.0102835
pidPairProbabilityExpert_11_211_ALL,+-,2.5,3.0,2.23,2.71,0.9,0.0132988,0.011028,0.011028,0.00010791,0.00377226,0.0146703,0.003791,0.003791,0.00011665,2.055e-05,0.906512,0.787377,0.787377,0.0102984,0.257139
